consumer, M, length, time
10, 10000, 1000, 221
10, 10000, 2000, 858
10, 10000, 1000, 750
10, 10000, 1000, 778
10, 10000, 7000, 561
10, 10000, 1000, 241
10, 10000, 1000, 301
10, 10000, 1000, 219
10, 10000, 1000, 199
10, 10000, 1000, 210
10, 10000, 6000, 197
10, 10000, 1000, 287
10, 10000, 1000, 239
10, 10000, 1000, 213
10, 10000, 1000, 231
10, 10000, 1000, 229
10, 10000, 7000, 254
10, 10000, 7000, 255
10, 10000, 1000, 272
10, 10000, 1000, 779
10, 10000, 1000, 239
10, 10000, 1000, 216
10, 10000, 1000, 205
10, 10000, 1000, 223
10, 10000, 6000, 207
10, 10000, 1000, 459
10, 10000, 1000, 286
10, 10000, 1000, 526
10, 10000, 1000, 854
10, 10000, 1000, 498
10, 10000, 1000, 835
10, 10000, 2000, 405
10, 10000, 1000, 230
10, 10000, 1000, 242
10, 10000, 1000, 197
10, 10000, 1000, 160
10, 10000, 1000, 161
10, 10000, 1000, 201
10, 10000, 1000, 211
10, 10000, 4000, 203
10, 10000, 1000, 758
10, 10000, 4000, 375
10, 10000, 1000, 174
10, 10000, 1000, 153
10, 10000, 1000, 232
10, 10000, 1000, 213
10, 10000, 1000, 216
10, 10000, 1000, 189
10, 10000, 1000, 2389
10, 10000, 1000, 256
10, 10000, 1000, 180
10, 10000, 1000, 197
10, 10000, 1000, 227
10, 10000, 1000, 225
10, 10000, 1000, 193
10, 10000, 1000, 193
10, 10000, 8000, 217
10, 10000, 1000, 317
10, 10000, 1000, 237
10, 10000, 1000, 221
10, 10000, 1000, 195
10, 10000, 1000, 198
10, 10000, 2000, 215
10, 10000, 1000, 255
10, 10000, 1000, 193
10, 10000, 8000, 178
10, 10000, 1000, 210
10, 10000, 1000, 210
10, 10000, 1000, 238
10, 10000, 1000, 195
10, 10000, 1000, 189
10, 10000, 1000, 151
10, 10000, 8000, 184
10, 10000, 1000, 309
10, 10000, 10000, 232
10, 10000, 1000, 107
10, 10000, 1000, 296
10, 10000, 10000, 136
10, 10000, 1000, 100
10, 10000, 1000, 56
10, 10000, 5000, 54
10, 10000, 1000, 93
10, 10000, 1000, 207
10, 10000, 7000, 83
10, 10000, 1000, 100
10, 10000, 1000, 74
10, 10000, 6000, 55
10, 10000, 1000, 98
10, 10000, 1000, 51
10, 10000, 1000, 66
10, 10000, 1000, 369377001
10, 10000, 1000, 60
10, 10000, 1000, 60
10, 10000, 1000, 65
10, 10000, 1000, 53
10, 10000, 1000, 53
10, 10000, 1000, 56
10, 10000, 1000, 55
10, 10000, 1000, 72
10, 10000, 1000, 53
10, 10000, 1000, 53
10, 10000, 1000, 56
10, 10000, 1000, 369841027
10, 10000, 1000, 294
10, 10000, 1000, 79
10, 10000, 8000, 68
10, 10000, 6000, 90
10, 10000, 1000, 436
