producers, M, length, time
1000, 1000, 100, 1355
1000, 1000, 1000, 262
1000, 1000, 100, 258
1000, 1000, 100, 288
1000, 1000, 100, 223
1000, 1000, 100, 211
1000, 1000, 100, 251
1000, 1000, 100, 212
1000, 1000, 100, 187
1000, 1000, 500, 201
1000, 1000, 100, 253
1000, 1000, 100, 267
1000, 1000, 100, 247
1000, 1000, 100, 253
1000, 1000, 100, 259
1000, 1000, 100, 292
1000, 1000, 900, 220
1000, 1000, 100, 252
1000, 1000, 100, 237
1000, 1000, 100, 222
1000, 1000, 100, 244
1000, 1000, 100, 236
1000, 1000, 300, 234
1000, 1000, 100, 241
1000, 1000, 100, 283
1000, 1000, 300, 217
1000, 1000, 100, 250
1000, 1000, 200, 256
1000, 1000, 100, 276
1000, 1000, 100, 224
1000, 1000, 100, 251
1000, 1000, 100, 247
1000, 1000, 100, 211
1000, 1000, 100, 249
1000, 1000, 100, 295
1000, 1000, 100, 2759
1000, 1000, 100, 262
1000, 1000, 500, 243
1000, 1000, 100, 229
1000, 1000, 400, 228
1000, 1000, 100, 265
1000, 1000, 100, 248
1000, 1000, 100, 261
1000, 1000, 100, 250
1000, 1000, 700, 278
1000, 1000, 800, 249
1000, 1000, 100, 253
1000, 1000, 100, 253
1000, 1000, 400, 263
1000, 1000, 800, 270
1000, 1000, 500, 256
1000, 1000, 100, 238
1000, 1000, 100, 230
1000, 1000, 900, 212
1000, 1000, 100, 259
1000, 1000, 500, 222
1000, 1000, 300, 283
1000, 1000, 100, 264
1000, 1000, 100, 215
1000, 1000, 100, 211
1000, 1000, 500, 265
1000, 1000, 100, 283
1000, 1000, 900, 222
1000, 1000, 100, 276
1000, 1000, 100, 199
1000, 1000, 100, 331
1000, 1000, 100, 264
1000, 1000, 100, 231
1000, 1000, 100, 240
1000, 1000, 800, 252
1000, 1000, 100, 236
1000, 1000, 500, 188
1000, 1000, 100, 188
1000, 1000, 500, 281
1000, 1000, 100, 260
1000, 1000, 100, 240
1000, 1000, 400, 226
1000, 1000, 100, 209
1000, 1000, 100, 220
1000, 1000, 100, 130
1000, 1000, 100, 164
1000, 1000, 100, 186
1000, 1000, 100, 167
1000, 1000, 100, 144
1000, 1000, 100, 174
1000, 1000, 100, 176
1000, 1000, 100, 202
1000, 1000, 100, 195
1000, 1000, 100, 208
1000, 1000, 100, 221
1000, 1000, 100, 264
1000, 1000, 100, 222
1000, 1000, 100, 248
1000, 1000, 100, 203
1000, 1000, 100, 230
1000, 1000, 100, 282
1000, 1000, 100, 244
1000, 1000, 400, 279
1000, 1000, 100, 230
1000, 1000, 100, 246
1000, 1000, 100, 266
1000, 1000, 100, 238
1000, 1000, 100, 233
1000, 1000, 100, 240
1000, 1000, 100, 220
1000, 1000, 600, 245
1000, 1000, 800, 250
1000, 1000, 100, 237
1000, 1000, 100, 241
1000, 1000, 1000, 251
1000, 1000, 100, 288
1000, 1000, 100, 244
1000, 1000, 100, 258
1000, 1000, 100, 229
1000, 1000, 100, 230
1000, 1000, 300, 248
1000, 1000, 100, 214
1000, 1000, 100, 304
1000, 1000, 100, 264
1000, 1000, 100, 260
1000, 1000, 100, 235
1000, 1000, 100, 219
1000, 1000, 100, 210
1000, 1000, 100, 243
1000, 1000, 100, 266
1000, 1000, 100, 224
1000, 1000, 100, 246
1000, 1000, 100, 214
1000, 1000, 100, 154
1000, 1000, 100, 203
1000, 1000, 100, 222
1000, 1000, 100, 224
1000, 1000, 100, 220
1000, 1000, 100, 168
1000, 1000, 100, 217
1000, 1000, 100, 229
1000, 1000, 100, 216
1000, 1000, 100, 232
1000, 1000, 100, 216
1000, 1000, 400, 285
1000, 1000, 100, 238
1000, 1000, 100, 277
1000, 1000, 100, 231
1000, 1000, 100, 221
1000, 1000, 100, 333
1000, 1000, 100, 239
1000, 1000, 600, 225
1000, 1000, 500, 263
1000, 1000, 100, 230
1000, 1000, 100, 1875
1000, 1000, 400, 199
1000, 1000, 100, 228
1000, 1000, 100, 236
1000, 1000, 100, 231
1000, 1000, 100, 258
1000, 1000, 100, 219
1000, 1000, 100, 196
1000, 1000, 100, 106
1000, 1000, 100, 104
1000, 1000, 700, 87
1000, 1000, 100, 68
1000, 1000, 100, 57
1000, 1000, 100, 83
1000, 1000, 100, 110
1000, 1000, 700, 58
1000, 1000, 100, 72
1000, 1000, 100, 292
1000, 1000, 300, 87
1000, 1000, 200, 55
1000, 1000, 100, 55
1000, 1000, 100, 78
1000, 1000, 100, 58
1000, 1000, 100, 66
1000, 1000, 100, 74
1000, 1000, 100, 80
1000, 1000, 100, 65
1000, 1000, 100, 78
1000, 1000, 900, 62
1000, 1000, 100, 60
1000, 1000, 100, 69
1000, 1000, 100, 77
1000, 1000, 100, 71
1000, 1000, 100, 56
1000, 1000, 100, 63
1000, 1000, 100, 82
1000, 1000, 100, 75
1000, 1000, 100, 82
1000, 1000, 100, 79
1000, 1000, 100, 62
1000, 1000, 100, 64
1000, 1000, 100, 55
1000, 1000, 600, 56
1000, 1000, 100, 102
1000, 1000, 100, 78
1000, 1000, 100, 82
1000, 1000, 100, 70
1000, 1000, 100, 79
1000, 1000, 100, 55
1000, 1000, 100, 66
1000, 1000, 100, 64
1000, 1000, 100, 53
1000, 1000, 100, 77
1000, 1000, 100, 64
1000, 1000, 100, 66
1000, 1000, 100, 81
1000, 1000, 100, 60
1000, 1000, 100, 64
1000, 1000, 100, 324
1000, 1000, 100, 100
1000, 1000, 100, 70
1000, 1000, 100, 61
1000, 1000, 100, 80
1000, 1000, 800, 78
1000, 1000, 100, 74
1000, 1000, 100, 55
1000, 1000, 100, 71
1000, 1000, 600, 78
1000, 1000, 500, 98
1000, 1000, 100, 62
1000, 1000, 100, 75
1000, 1000, 100, 83
1000, 1000, 100, 87
1000, 1000, 100, 302
1000, 1000, 100, 346
1000, 1000, 200, 121
1000, 1000, 100, 72
1000, 1000, 100, 62
1000, 1000, 100, 64
1000, 1000, 100, 92
1000, 1000, 100, 69
1000, 1000, 100, 78
1000, 1000, 800, 69
1000, 1000, 100, 65
1000, 1000, 100, 87
1000, 1000, 100, 71
1000, 1000, 100, 59
1000, 1000, 100, 76
1000, 1000, 100, 81
1000, 1000, 100, 79
1000, 1000, 100, 82
1000, 1000, 600, 61
1000, 1000, 100, 79
1000, 1000, 100, 57
1000, 1000, 100, 66
1000, 1000, 100, 78
1000, 1000, 100, 64
1000, 1000, 100, 76
1000, 1000, 100, 78
1000, 1000, 100, 70
1000, 1000, 100, 75
1000, 1000, 200, 82
1000, 1000, 100, 50
1000, 1000, 100, 83
1000, 1000, 400, 79
1000, 1000, 100, 79
1000, 1000, 100, 84
1000, 1000, 100, 80
1000, 1000, 300, 75
1000, 1000, 100, 59
1000, 1000, 100, 64
1000, 1000, 100, 76
1000, 1000, 100, 82
1000, 1000, 100, 53
1000, 1000, 100, 295
1000, 1000, 100, 87
1000, 1000, 100, 76
1000, 1000, 100, 66
1000, 1000, 100, 78
1000, 1000, 100, 64
1000, 1000, 100, 296
1000, 1000, 400, 103
1000, 1000, 100, 76
1000, 1000, 100, 59
1000, 1000, 100, 80
1000, 1000, 100, 93
1000, 1000, 100, 75
1000, 1000, 100, 60
1000, 1000, 100, 77
1000, 1000, 100, 76
1000, 1000, 400, 81
1000, 1000, 100, 75
1000, 1000, 100, 85
1000, 1000, 800, 83
1000, 1000, 100, 451
1000, 1000, 100, 77
1000, 1000, 100, 362
1000, 1000, 600, 82
1000, 1000, 900, 56
1000, 1000, 100, 82
1000, 1000, 100, 80
1000, 1000, 100, 60
1000, 1000, 100, 337
1000, 1000, 300, 111
1000, 1000, 100, 73
1000, 1000, 100, 102
1000, 1000, 100, 70
1000, 1000, 100, 83
1000, 1000, 100, 85
1000, 1000, 100, 70
1000, 1000, 100, 79
1000, 1000, 100, 60
1000, 1000, 400, 90
1000, 1000, 100, 71
1000, 1000, 100, 74
1000, 1000, 100, 79
1000, 1000, 100, 77
1000, 1000, 100, 63
1000, 1000, 1000, 72
1000, 1000, 100, 66
1000, 1000, 100, 84
1000, 1000, 100, 80
1000, 1000, 100, 69
1000, 1000, 100, 77
1000, 1000, 100, 58
1000, 1000, 100, 80
1000, 1000, 100, 51
1000, 1000, 100, 76
1000, 1000, 100, 59
1000, 1000, 100, 61
1000, 1000, 100, 58
1000, 1000, 100, 58
1000, 1000, 100, 75
1000, 1000, 100, 68
1000, 1000, 100, 69
1000, 1000, 100, 70
1000, 1000, 100, 78
1000, 1000, 100, 380
1000, 1000, 1000, 80
1000, 1000, 100, 82
1000, 1000, 100, 60
1000, 1000, 700, 425
1000, 1000, 100, 84
1000, 1000, 100, 68
1000, 1000, 300, 76
1000, 1000, 300, 61
1000, 1000, 100, 55
1000, 1000, 100, 79
1000, 1000, 100, 80
1000, 1000, 200, 391
1000, 1000, 800, 69
1000, 1000, 500, 87
1000, 1000, 100, 460
1000, 1000, 300, 87
1000, 1000, 100, 56
1000, 1000, 100, 74
1000, 1000, 100, 84
1000, 1000, 100, 61
1000, 1000, 100, 57
1000, 1000, 100, 76
1000, 1000, 100, 75
1000, 1000, 400, 58
1000, 1000, 500, 77
1000, 1000, 100, 79
1000, 1000, 500, 62
1000, 1000, 100, 83
1000, 1000, 100, 482
1000, 1000, 100, 100
1000, 1000, 800, 89
1000, 1000, 100, 84
1000, 1000, 100, 79
1000, 1000, 100, 80
1000, 1000, 400, 74
1000, 1000, 100, 70
1000, 1000, 100, 84
1000, 1000, 100, 62
1000, 1000, 100, 74
1000, 1000, 100, 79
1000, 1000, 700, 421
1000, 1000, 100, 80
1000, 1000, 500, 78
1000, 1000, 100, 79
1000, 1000, 100, 56
1000, 1000, 100, 89
1000, 1000, 500, 91
1000, 1000, 100, 418
1000, 1000, 100, 89
1000, 1000, 100, 427
1000, 1000, 900, 71
1000, 1000, 100, 53
1000, 1000, 100, 54
1000, 1000, 100, 85
1000, 1000, 100, 77
1000, 1000, 100, 73
1000, 1000, 900, 103
1000, 1000, 100, 411
1000, 1000, 100, 81
1000, 1000, 100, 51
1000, 1000, 100, 54
1000, 1000, 100, 68
1000, 1000, 100, 67
1000, 1000, 100, 75
1000, 1000, 700, 63
1000, 1000, 800, 74
1000, 1000, 200, 465
1000, 1000, 100, 84
1000, 1000, 900, 65
1000, 1000, 100, 56
1000, 1000, 100, 64
1000, 1000, 800, 54
1000, 1000, 100, 89
1000, 1000, 100, 75
1000, 1000, 100, 80
1000, 1000, 100, 66
1000, 1000, 400, 53
1000, 1000, 100, 63
1000, 1000, 400, 75
1000, 1000, 100, 66
1000, 1000, 100, 60
1000, 1000, 100, 373
1000, 1000, 100, 64
1000, 1000, 100, 60
1000, 1000, 100, 59
1000, 1000, 100, 67
1000, 1000, 100, 75
1000, 1000, 100, 55
1000, 1000, 100, 58
1000, 1000, 100, 57
1000, 1000, 100, 53
1000, 1000, 100, 82
1000, 1000, 100, 78
1000, 1000, 100, 65
1000, 1000, 100, 63
1000, 1000, 100, 75
1000, 1000, 100, 72
1000, 1000, 100, 55
1000, 1000, 100, 429
1000, 1000, 100, 77
