consumer, M, length, time
10, 100000, 30000, 328
10, 100000, 10000, 343
10, 100000, 50000, 305
10, 100000, 30000, 239
10, 100000, 20000, 100
10, 100000, 10000, 86
10, 100000, 70000, 76
10, 100000, 60000, 158
10, 100000, 70000, 169
10, 100000, 60000, 199
10, 100000, 40000, 327
10, 100000, 40000, 93
10, 100000, 40000, 652
10, 100000, 20000, 165
10, 100000, 80000, 116
10, 100000, 60000, 192
10, 100000, 70000, 160
10, 100000, 30000, 100
10, 100000, 20000, 130
10, 100000, 80000, 192
10, 100000, 20000, 48
10, 100000, 20000, 57
10, 100000, 40000, 81
10, 100000, 10000, 159
10, 100000, 50000, 73
10, 100000, 40000, 75
10, 100000, 40000, 168
10, 100000, 70000, 94
10, 100000, 20000, 90
10, 100000, 90000, 95
10, 100000, 80000, 165
10, 100000, 90000, 7564425313
10, 100000, 10000, 73
10, 100000, 30000, 48
10, 100000, 70000, 7974130279
10, 100000, 40000, 47
10, 100000, 80000, 44
10, 100000, 80000, 8526795475
10, 100000, 60000, 96
10, 100000, 60000, 162
10, 100000, 90000, 9107967160
10, 100000, 50000, 77
10, 100000, 70000, 10346693751
10, 100000, 10000, 95
10, 100000, 20000, 48
10, 100000, 100000, 9815786890
10, 100000, 30000, 119
10, 100000, 10000, 73
10, 100000, 40000, 47
10, 100000, 90000, 10938491080
10, 100000, 30000, 121
10, 100000, 40000, 109
10, 100000, 90000, 11513535189
10, 100000, 60000, 127
10, 100000, 30000, 94
10, 100000, 30000, 11341815328
10, 100000, 30000, 97
10, 100000, 40000, 124
10, 100000, 10000, 47
10, 100000, 70000, 47
10, 100000, 30000, 21150314340
10, 100000, 70000, 11244724234
10, 100000, 10000, 123
10, 100000, 80000, 48
10, 100000, 40000, 11110075419
10, 100000, 50000, 94
10, 100000, 80000, 9996906031
10, 100000, 80000, 9649780890
10, 100000, 90000, 113
10, 100000, 20000, 213
10, 100000, 100000, 10670824662
10, 100000, 50000, 114
10, 100000, 80000, 10677944882
10, 100000, 50000, 94
10, 100000, 90000, 10305550383
10, 100000, 50000, 9854302115
10, 100000, 80000, 96
10, 100000, 30000, 73
10, 100000, 50000, 10131107415
10, 100000, 100000, 96
10, 100000, 20000, 95
10, 100000, 30000, 95
10, 100000, 90000, 10434025244
10, 100000, 70000, 11013006921
10, 100000, 10000, 94
10, 100000, 80000, 47
10, 100000, 90000, 11637589927
10, 100000, 40000, 94
10, 100000, 20000, 116
10, 100000, 90000, 11232208830
10, 100000, 80000, 97
10, 100000, 10000, 94
10, 100000, 60000, 11491031926
10, 100000, 10000, 94
10, 100000, 100000, 50
10, 100000, 100000, 12456647108
10, 100000, 10000, 112
10, 100000, 60000, 142
10, 100000, 10000, 60
10, 100000, 90000, 13648285832
10, 100000, 50000, 13585687024
10, 100000, 10000, 127
10, 100000, 20000, 80
10, 100000, 60000, 115
10, 100000, 40000, 12631136178
10, 100000, 40000, 49
10, 100000, 50000, 167
10, 100000, 60000, 13011
10, 100000, 90000, 13122937784
10, 100000, 90000, 12724895074
10, 100000, 70000, 96
10, 100000, 30000, 96
10, 100000, 70000, 13138036910
10, 100000, 60000, 163
10, 100000, 70000, 12315105413
10, 100000, 70000, 96
10, 100000, 90000, 11660028217
10, 100000, 90000, 97
10, 100000, 70000, 11450013728
10, 100000, 90000, 95
10, 100000, 100000, 12549764950
10, 100000, 20000, 13336431427
10, 100000, 20000, 158
10, 100000, 20000, 52
10, 100000, 60000, 122
10, 100000, 10000, 101
10, 100000, 40000, 54
10, 100000, 70000, 12807746900
10, 100000, 30000, 39769252753
10, 100000, 90000, 12480452050
10, 100000, 70000, 102
10, 100000, 80000, 12564168048
10, 100000, 40000, 203
10, 100000, 80000, 12396682396
10, 100000, 70000, 99
10, 100000, 40000, 12527327226
10, 100000, 50000, 356
10, 100000, 60000, 99
10, 100000, 90000, 11442853956
10, 100000, 30000, 120
10, 100000, 60000, 126
10, 100000, 100000, 10491092039
