consumer, M, length, time
10, 10000, 5000, 948
10, 10000, 5000, 787
10, 10000, 7000, 721
10, 10000, 6000, 773
10, 10000, 5000, 705
10, 10000, 6000, 532
10, 10000, 1000, 749
10, 10000, 9000, 522
10, 10000, 9000, 783
10, 10000, 5000, 749
10, 10000, 6000, 153323450
10, 10000, 7000, 130893678
10, 10000, 3000, 96328267
10, 10000, 10000, 82324875
10, 10000, 4000, 146343556
10, 10000, 9000, 138261919
10, 10000, 5000, 168264274
10, 10000, 2000, 146742223
10, 10000, 1000, 140415948
10, 10000, 7000, 133465421
10, 10000, 8000, 134896845
10, 10000, 3000, 64282551
10, 10000, 10000, 60310003
10, 10000, 4000, 46420666
10, 10000, 9000, 203387992
10, 10000, 9000, 303
10, 10000, 2000, 126677476
10, 10000, 1000, 129837328
10, 10000, 10000, 131325944
10, 10000, 8000, 144402762
10, 10000, 2000, 172579536
10, 10000, 2000, 314
10, 10000, 1000, 176195569
10, 10000, 5000, 156889605
10, 10000, 1000, 226
10, 10000, 10000, 158683112
10, 10000, 3000, 92807375
10, 10000, 8000, 89937322
10, 10000, 1000, 100066019
10, 10000, 7000, 77057594
10, 10000, 10000, 45030743
10, 10000, 6000, 60179268
10, 10000, 8000, 65613605
10, 10000, 4000, 69991616
10, 10000, 3000, 57320416
10, 10000, 5000, 57037500
10, 10000, 8000, 48848778
10, 10000, 7000, 119366988
10, 10000, 5000, 184284693
10, 10000, 9000, 200519663
10, 10000, 3000, 269007465
10, 10000, 7000, 262069981
10, 10000, 2000, 266233468
10, 10000, 5000, 265834766
10, 10000, 9000, 320723716
10, 10000, 2000, 306041447
10, 10000, 5000, 168715373
10, 10000, 5000, 140728469
10, 10000, 9000, 445
10, 10000, 3000, 3562
10, 10000, 2000, 112321362
10, 10000, 9000, 113146793
10, 10000, 7000, 131443471
10, 10000, 8000, 137649949
10, 10000, 9000, 112196928
10, 10000, 7000, 110492568
10, 10000, 5000, 183174316
10, 10000, 8000, 438
10, 10000, 2000, 86145721
10, 10000, 2000, 80092104
10, 10000, 10000, 80031613
10, 10000, 6000, 66631036
10, 10000, 8000, 64465861
10, 10000, 7000, 64816295
10, 10000, 5000, 73475878
10, 10000, 2000, 66705443
10, 10000, 5000, 60550667
10, 10000, 8000, 77104935
10, 10000, 3000, 166007429
10, 10000, 8000, 172096439
10, 10000, 6000, 219483761
10, 10000, 3000, 245882266
10, 10000, 3000, 240027739
10, 10000, 6000, 247912385
10, 10000, 10000, 624
10, 10000, 4000, 372
10, 10000, 8000, 376246425
10, 10000, 10000, 539827895
10, 10000, 7000, 910
10, 10000, 1000, 320072823
10, 10000, 5000, 320321961
10, 10000, 9000, 316716073
10, 10000, 10000, 285683850
10, 10000, 6000, 97097793
10, 10000, 9000, 412491806
10, 10000, 2000, 109760104
10, 10000, 5000, 100187983
10, 10000, 6000, 389594559
10, 10000, 7000, 976
10, 10000, 3000, 74921518
10, 10000, 9000, 75939231
10, 10000, 7000, 82225499
10, 10000, 6000, 50340861
10, 10000, 3000, 50898915
10, 10000, 9000, 40284561
10, 10000, 10000, 47645679
10, 10000, 6000, 46989328
10, 10000, 9000, 107700296
10, 10000, 7000, 934
10, 10000, 2000, 59717347
10, 10000, 9000, 59512830
10, 10000, 10000, 1689
10, 10000, 3000, 116771169
10, 10000, 9000, 142861701
10, 10000, 6000, 126794525
10, 10000, 2000, 140046403
10, 10000, 6000, 174808802
10, 10000, 8000, 902
10, 10000, 1000, 129533505
10, 10000, 1000, 105467467
10, 10000, 7000, 72668417
10, 10000, 4000, 78000958
10, 10000, 9000, 79703006
10, 10000, 7000, 41629305
10, 10000, 8000, 47407564
10, 10000, 6000, 168693034
10, 10000, 7000, 42820816
10, 10000, 5000, 48529142
10, 10000, 7000, 45258255
10, 10000, 6000, 49214059
10, 10000, 7000, 53721293
10, 10000, 10000, 51003094
10, 10000, 2000, 69801863
10, 10000, 8000, 59992692
10, 10000, 8000, 117690014
10, 10000, 4000, 83776380
10, 10000, 7000, 312
10, 10000, 1000, 93505919
10, 10000, 9000, 89560146
10, 10000, 3000, 109151085
10, 10000, 3000, 87750915
10, 10000, 10000, 92558579
10, 10000, 3000, 109588875
10, 10000, 3000, 92246067
10, 10000, 9000, 59230798
10, 10000, 4000, 72216946
10, 10000, 10000, 74913555
10, 10000, 5000, 105
10, 10000, 2000, 62281160
10, 10000, 3000, 54820289
10, 10000, 3000, 39376846
10, 10000, 3000, 39113141
10, 10000, 7000, 40268591
10, 10000, 8000, 31573074
10, 10000, 7000, 26603263
10, 10000, 6000, 480
10, 10000, 1000, 34648465
10, 10000, 1000, 34511369
10, 10000, 9000, 122
10, 10000, 5000, 51094000
10, 10000, 1000, 56423853
10, 10000, 4000, 199
10, 10000, 10000, 100695480
10, 10000, 9000, 121487118
10, 10000, 2000, 284
10, 10000, 9000, 105214718
10, 10000, 10000, 117127883
10, 10000, 2000, 131998661
10, 10000, 6000, 104
10, 10000, 3000, 117816636
10, 10000, 8000, 111274288
10, 10000, 5000, 118288939
10, 10000, 1000, 115635638
10, 10000, 7000, 92
10, 10000, 1000, 88703794
10, 10000, 3000, 61831607
10, 10000, 3000, 39911756
10, 10000, 6000, 25108935
10, 10000, 8000, 23895961
10, 10000, 9000, 32557249
10, 10000, 1000, 47978928
10, 10000, 5000, 41030456
10, 10000, 10000, 41322596
10, 10000, 4000, 58443218
10, 10000, 4000, 63785610
10, 10000, 4000, 69069966
10, 10000, 5000, 61467194
10, 10000, 4000, 51175418
10, 10000, 1000, 53410497
10, 10000, 8000, 50466434
10, 10000, 6000, 49200675
10, 10000, 8000, 113904475
10, 10000, 8000, 268
10, 10000, 1000, 87206108
10, 10000, 10000, 128
10, 10000, 6000, 97832910
10, 10000, 10000, 103996990
10, 10000, 3000, 115245904
10, 10000, 8000, 113498280
10, 10000, 3000, 121751034
10, 10000, 1000, 95229445
10, 10000, 10000, 57170757
10, 10000, 1000, 49102624
10, 10000, 1000, 43274726
10, 10000, 3000, 26024507
10, 10000, 4000, 25965673
10, 10000, 8000, 20550522
10, 10000, 3000, 28729305
10, 10000, 9000, 28251602
10, 10000, 3000, 39150755
10, 10000, 8000, 26915984
10, 10000, 6000, 35944919
10, 10000, 6000, 111
10, 10000, 1000, 44365675
10, 10000, 4000, 43771882
10, 10000, 9000, 44228519
10, 10000, 10000, 64198203
10, 10000, 10000, 110257040
10, 10000, 2000, 305
10, 10000, 4000, 119558379
10, 10000, 1000, 121053771
10, 10000, 6000, 111432255
10, 10000, 3000, 113446715
10, 10000, 1000, 111122451
10, 10000, 6000, 146347482
10, 10000, 3000, 201
10, 10000, 2000, 57374699
10, 10000, 1000, 23049913
10, 10000, 10000, 20183869
10, 10000, 6000, 32887293
10, 10000, 5000, 174
10, 10000, 5000, 30417471
10, 10000, 3000, 32457981
10, 10000, 8000, 33893453
10, 10000, 2000, 42336758
10, 10000, 7000, 36532865
10, 10000, 6000, 42075311
10, 10000, 1000, 46073231
10, 10000, 7000, 33353155
10, 10000, 2000, 35712663
10, 10000, 5000, 32440329
