producers, M, length, time
10, 1000, 900, 5334
10, 1000, 500, 832
10, 1000, 600, 902
10, 1000, 300, 692
10, 1000, 200, 797
10, 1000, 200, 834
10, 1000, 600, 20714328
10, 1000, 100, 11107354
10, 1000, 600, 5265596
10, 1000, 700, 7137187
10, 1000, 600, 5733134
10, 1000, 700, 6254885
10, 1000, 700, 6356558
10, 1000, 400, 7879700
10, 1000, 100, 8215845
10, 1000, 900, 12054177
10, 1000, 600, 699
10, 1000, 700, 12947280
10, 1000, 900, 13868861
10, 1000, 900, 15474001
10, 1000, 600, 15738415
10, 1000, 100, 16019027
10, 1000, 900, 13859824
10, 1000, 700, 14491672
10, 1000, 200, 13946362
10, 1000, 300, 14604514
10, 1000, 900, 10907409
10, 1000, 600, 9493789
10, 1000, 500, 7837703
10, 1000, 600, 6077834
10, 1000, 400, 6167481
10, 1000, 600, 6517528
10, 1000, 200, 5858444
10, 1000, 400, 6384721
10, 1000, 500, 6660272
10, 1000, 300, 6503678
10, 1000, 700, 6480512
10, 1000, 400, 5865858
10, 1000, 500, 6851627
10, 1000, 800, 6597807
10, 1000, 600, 7431358
10, 1000, 200, 7423357
10, 1000, 600, 7723235
10, 1000, 600, 6734039
10, 1000, 600, 6523624
10, 1000, 900, 7127320
10, 1000, 400, 8239562
10, 1000, 700, 8023516
10, 1000, 500, 8333979
10, 1000, 300, 7832331
10, 1000, 700, 7807663
10, 1000, 200, 8116733
10, 1000, 800, 7489880
10, 1000, 1000, 8966499
10, 1000, 900, 9703598
10, 1000, 500, 9543577
10, 1000, 800, 8309725
10, 1000, 1000, 8972574
10, 1000, 800, 9300495
10, 1000, 1000, 9895825
10, 1000, 600, 10949367
10, 1000, 300, 10354347
10, 1000, 800, 10986214
10, 1000, 300, 10501420
10, 1000, 1000, 9391376
10, 1000, 100, 10663809
10, 1000, 100, 10271660
10, 1000, 500, 8719449
10, 1000, 700, 7555677
10, 1000, 300, 7356908
10, 1000, 900, 5951717
10, 1000, 300, 554
10, 1000, 100, 7193965
10, 1000, 400, 7449081
10, 1000, 900, 6409931
10, 1000, 700, 5441307
10, 1000, 200, 7207402
10, 1000, 600, 7181294
10, 1000, 600, 7780558
10, 1000, 800, 7497130
10, 1000, 200, 7515434
10, 1000, 400, 6891211
10, 1000, 300, 6925192
10, 1000, 800, 7198548
10, 1000, 300, 8014004
10, 1000, 500, 8728744
10, 1000, 700, 7154866
10, 1000, 600, 8544555
10, 1000, 800, 7954870
10, 1000, 100, 8371204
10, 1000, 100, 8343791
10, 1000, 800, 7763627
10, 1000, 1000, 8523343
10, 1000, 100, 9328387
10, 1000, 300, 8534586
10, 1000, 800, 7377735
10, 1000, 600, 7344034
10, 1000, 100, 5837095
10, 1000, 900, 7844028
10, 1000, 500, 7732827
10, 1000, 800, 7761486
10, 1000, 600, 8864382
10, 1000, 100, 8228709
10, 1000, 700, 7391592
10, 1000, 900, 7869839
10, 1000, 100, 8943298
10, 1000, 100, 9217962
10, 1000, 400, 9231077
10, 1000, 700, 7085428
10, 1000, 500, 6811339
10, 1000, 600, 8390392
10, 1000, 800, 8132588
10, 1000, 900, 8503520
10, 1000, 400, 8742702
10, 1000, 700, 8287959
10, 1000, 200, 7230131
10, 1000, 100, 8532462
10, 1000, 100, 8520793
10, 1000, 900, 8472802
10, 1000, 900, 8977052
10, 1000, 200, 136
10, 1000, 600, 8320185
10, 1000, 200, 7627084
10, 1000, 100, 6566664
10, 1000, 900, 6482018
10, 1000, 900, 6742409
10, 1000, 700, 6015491
10, 1000, 700, 7427117
10, 1000, 900, 7646334
10, 1000, 1000, 7568166
10, 1000, 500, 7903381
10, 1000, 300, 7825622
10, 1000, 900, 8400787
10, 1000, 900, 8495520
10, 1000, 800, 9270840
10, 1000, 600, 8823152
10, 1000, 600, 7863842
10, 1000, 700, 7772789
10, 1000, 100, 8106552
10, 1000, 200, 7028013
10, 1000, 300, 7608132
10, 1000, 800, 6072023
10, 1000, 700, 14735831
10, 1000, 400, 116
10, 1000, 300, 7056600
10, 1000, 1000, 6573145
10, 1000, 900, 7755118
10, 1000, 700, 8649454
10, 1000, 400, 8460833
10, 1000, 600, 8362660
10, 1000, 600, 8375452
10, 1000, 600, 9022248
10, 1000, 900, 9058384
10, 1000, 400, 8241955
10, 1000, 300, 9606825
10, 1000, 200, 7306368
10, 1000, 700, 5881034
10, 1000, 800, 6002051
10, 1000, 500, 6333227
10, 1000, 300, 7167729
10, 1000, 800, 5914299
10, 1000, 900, 14777355
10, 1000, 600, 127
10, 1000, 400, 5250659
10, 1000, 400, 6671167
10, 1000, 100, 6838542
10, 1000, 100, 7053409
10, 1000, 1000, 5148484
10, 1000, 300, 170
10, 1000, 500, 5680928
10, 1000, 900, 12065548
10, 1000, 800, 92
10, 1000, 1000, 12598188
10, 1000, 100, 5677470
10, 1000, 500, 5614401
10, 1000, 400, 5281981
10, 1000, 100, 6464885
10, 1000, 600, 5391615
10, 1000, 1000, 6288506
10, 1000, 1000, 11510780
10, 1000, 200, 6792545
10, 1000, 400, 6676725
10, 1000, 900, 119
10, 1000, 100, 5684840
10, 1000, 900, 5936532
10, 1000, 400, 7466253
10, 1000, 800, 7495647
10, 1000, 400, 7545393
10, 1000, 900, 7168774
10, 1000, 100, 94
10, 1000, 400, 7244966
10, 1000, 700, 19121808
10, 1000, 600, 101
10, 1000, 700, 12537111
10, 1000, 300, 6804218
10, 1000, 300, 6336150
10, 1000, 600, 5079520
10, 1000, 200, 4878835
10, 1000, 500, 4883210
10, 1000, 800, 12269544
10, 1000, 700, 99
10, 1000, 400, 6192826
10, 1000, 900, 124
10, 1000, 400, 14542943
10, 1000, 900, 103
10, 1000, 800, 5910550
10, 1000, 800, 7345626
10, 1000, 100, 7813805
10, 1000, 300, 7856218
10, 1000, 900, 12979291
10, 1000, 600, 132
10, 1000, 500, 6941455
10, 1000, 600, 18017474
10, 1000, 500, 102
10, 1000, 600, 14114772
10, 1000, 300, 6464609
10, 1000, 800, 5633761
10, 1000, 200, 4766731
10, 1000, 700, 6727553
10, 1000, 900, 13948434
10, 1000, 500, 90
10, 1000, 500, 6547526
10, 1000, 800, 7831667
10, 1000, 200, 6823785
10, 1000, 900, 13809534
10, 1000, 300, 115
10, 1000, 100, 7015961
10, 1000, 1000, 6674373
10, 1000, 400, 5627064
10, 1000, 800, 5750132
10, 1000, 300, 6986999
10, 1000, 1000, 4738217
10, 1000, 400, 5748849
10, 1000, 400, 13051589
10, 1000, 800, 99
10, 1000, 1000, 12723753
10, 1000, 600, 7235342
10, 1000, 200, 7193891
10, 1000, 800, 6361822
10, 1000, 1000, 5411232
10, 1000, 200, 4809127
10, 1000, 700, 12541816
10, 1000, 400, 108
10, 1000, 100, 6531109
10, 1000, 300, 5660192
10, 1000, 400, 106
10, 1000, 900, 8090652
10, 1000, 600, 6442230
10, 1000, 700, 11645768
10, 1000, 500, 106
10, 1000, 600, 7579146
10, 1000, 200, 8603234
10, 1000, 200, 6869295
10, 1000, 600, 6907744
10, 1000, 600, 6830127
10, 1000, 700, 5844360
10, 1000, 900, 11331642
10, 1000, 900, 13760438
10, 1000, 700, 103
10, 1000, 200, 7596302
10, 1000, 100, 6453914
10, 1000, 700, 6129525
10, 1000, 200, 8555774
10, 1000, 900, 8896388
10, 1000, 400, 9231532
10, 1000, 400, 107
10, 1000, 300, 15203121
10, 1000, 800, 15392076
10, 1000, 800, 102
10, 1000, 100, 7844885
10, 1000, 100, 7778293
10, 1000, 200, 5398181
10, 1000, 800, 5010817
10, 1000, 300, 5369163
10, 1000, 700, 4342430
10, 1000, 300, 9597237
10, 1000, 800, 17119822
10, 1000, 400, 695
10, 1000, 700, 8576912
10, 1000, 900, 11624556
10, 1000, 700, 12014483
10, 1000, 800, 11734420
10, 1000, 200, 11958680
10, 1000, 800, 6917860
10, 1000, 900, 15774527
10, 1000, 1000, 141
10, 1000, 300, 3098652
10, 1000, 1000, 3040957
10, 1000, 500, 3428607
10, 1000, 600, 3482984
10, 1000, 900, 3356779
10, 1000, 800, 3967560
10, 1000, 600, 10262707
10, 1000, 300, 114
10, 1000, 700, 21518242
10, 1000, 200, 768
10, 1000, 800, 11646560
10, 1000, 500, 6526005
10, 1000, 700, 6666885
10, 1000, 600, 205
10, 1000, 1000, 6471765
10, 1000, 800, 5661859
10, 1000, 300, 3872445
10, 1000, 600, 4405464
10, 1000, 1000, 117
10, 1000, 600, 3816339
10, 1000, 900, 3249988
10, 1000, 900, 3584823
10, 1000, 800, 12016156
10, 1000, 700, 470
10, 1000, 900, 7766605
10, 1000, 400, 7461151
10, 1000, 700, 6856468
10, 1000, 800, 18871617
10, 1000, 100, 7337758
10, 1000, 900, 11427889
10, 1000, 800, 7016916
10, 1000, 700, 5747617
10, 1000, 200, 5359038
10, 1000, 900, 4728675
10, 1000, 400, 130
10, 1000, 800, 13112660
10, 1000, 800, 23700922
10, 1000, 800, 13688126
10, 1000, 400, 102
10, 1000, 500, 3578436
10, 1000, 800, 3385671
10, 1000, 900, 3590233
10, 1000, 300, 3204703
10, 1000, 900, 2671500
10, 1000, 900, 3100666
10, 1000, 200, 3692007
10, 1000, 500, 8149278
10, 1000, 700, 3118050
10, 1000, 300, 5251271
10, 1000, 900, 8588907
10, 1000, 600, 5372003
10, 1000, 400, 5334247
10, 1000, 500, 5118703
10, 1000, 500, 132
10, 1000, 500, 4520871
10, 1000, 700, 8295215
10, 1000, 300, 3464788
10, 1000, 1000, 9315205
10, 1000, 600, 173
10, 1000, 600, 4008789
10, 1000, 600, 3978545
10, 1000, 200, 109
10, 1000, 800, 3879482
10, 1000, 300, 3052922
10, 1000, 1000, 6771963
10, 1000, 1000, 6728620
10, 1000, 400, 3307086
10, 1000, 400, 2650222
10, 1000, 300, 2684885
10, 1000, 800, 2833249
10, 1000, 100, 3195334
10, 1000, 900, 3910890
10, 1000, 800, 4914061
10, 1000, 200, 5429388
10, 1000, 1000, 4862303
10, 1000, 400, 4906052
10, 1000, 600, 5496497
10, 1000, 900, 17957428
10, 1000, 200, 395
10, 1000, 200, 5960005
10, 1000, 1000, 5698578
10, 1000, 700, 5445098
10, 1000, 300, 148
10, 1000, 1000, 17391095
10, 1000, 400, 103
10, 1000, 400, 5799744
10, 1000, 1000, 17659466
10, 1000, 200, 98
10, 1000, 400, 5555026
10, 1000, 500, 4800693
10, 1000, 800, 4062371
10, 1000, 800, 4248828
10, 1000, 900, 3616206
10, 1000, 100, 104
10, 1000, 1000, 3655125
10, 1000, 800, 3611779
10, 1000, 300, 3332967
10, 1000, 900, 3705086
10, 1000, 200, 5565394
10, 1000, 200, 5361609
10, 1000, 200, 4935036
10, 1000, 800, 12833611
10, 1000, 200, 4342557
10, 1000, 700, 4351964
10, 1000, 900, 4345883
10, 1000, 900, 7889877
10, 1000, 900, 176
10, 1000, 300, 2525473
10, 1000, 600, 2567201
10, 1000, 800, 2927821
10, 1000, 100, 3292138
10, 1000, 900, 3416254
10, 1000, 500, 3732459
10, 1000, 400, 3520028
10, 1000, 300, 8600025
10, 1000, 900, 3828162
10, 1000, 400, 8470301
10, 1000, 100, 3712875
10, 1000, 300, 5581579
10, 1000, 200, 5329683
10, 1000, 100, 5291811
10, 1000, 800, 5146689
10, 1000, 500, 4921221
10, 1000, 200, 4960372
10, 1000, 600, 3877763
10, 1000, 300, 3759292
10, 1000, 900, 3628905
10, 1000, 100, 4141281
10, 1000, 800, 4581023
10, 1000, 400, 4564629
10, 1000, 800, 4558992
10, 1000, 400, 5068316
10, 1000, 400, 5264050
10, 1000, 900, 5253287
10, 1000, 600, 3491892
10, 1000, 900, 3039091
10, 1000, 100, 2811929
10, 1000, 700, 10733409
10, 1000, 600, 96
10, 1000, 1000, 2964794
10, 1000, 400, 3238675
10, 1000, 300, 2522165
10, 1000, 200, 3257618
10, 1000, 100, 4169935
10, 1000, 600, 4072986
10, 1000, 200, 6896327
10, 1000, 700, 7856944
10, 1000, 400, 156
10, 1000, 900, 14165482
