consumer, M, length, time
1000, 10000, 1000, 1269
1000, 10000, 1000, 936
1000, 10000, 1000, 56484451
1000, 10000, 1000, 340
1000, 10000, 1000, 215
1000, 10000, 5000, 291
1000, 10000, 3000, 299
1000, 10000, 2000, 102113081
1000, 10000, 1000, 108926125
1000, 10000, 10000, 387
1000, 10000, 9000, 234755467
1000, 10000, 1000, 385
1000, 10000, 1000, 273
1000, 10000, 1000, 158
1000, 10000, 4000, 222
1000, 10000, 1000, 1550
1000, 10000, 1000, 424
1000, 10000, 6000, 1393
1000, 10000, 9000, 438
1000, 10000, 1000, 322
1000, 10000, 1000, 307
1000, 10000, 1000, 303
1000, 10000, 1000, 322934309
1000, 10000, 1000, 334
1000, 10000, 1000, 448
1000, 10000, 1000, 304
1000, 10000, 1000, 325311962
1000, 10000, 1000, 325696657
1000, 10000, 3000, 325968118
1000, 10000, 1000, 279
1000, 10000, 1000, 263
1000, 10000, 1000, 265
1000, 10000, 6000, 221
1000, 10000, 3000, 242
1000, 10000, 1000, 222
1000, 10000, 1000, 206
1000, 10000, 1000, 292
1000, 10000, 9000, 257
1000, 10000, 1000, 306
1000, 10000, 1000, 300
1000, 10000, 1000, 212
1000, 10000, 1000, 286
1000, 10000, 2000, 273
1000, 10000, 1000, 312
1000, 10000, 1000, 253
1000, 10000, 9000, 282
1000, 10000, 1000, 404
1000, 10000, 1000, 289
1000, 10000, 1000, 273
1000, 10000, 1000, 309
1000, 10000, 1000, 857
1000, 10000, 1000, 464449219
1000, 10000, 4000, 305
1000, 10000, 1000, 523
1000, 10000, 1000, 1280
1000, 10000, 1000, 651
1000, 10000, 1000, 248
1000, 10000, 1000, 234
1000, 10000, 1000, 276
1000, 10000, 10000, 190
1000, 10000, 1000, 240
1000, 10000, 7000, 234
1000, 10000, 1000, 202
1000, 10000, 10000, 143
1000, 10000, 1000, 339
1000, 10000, 1000, 207
1000, 10000, 2000, 568244656
1000, 10000, 2000, 288
1000, 10000, 1000, 578207977
1000, 10000, 4000, 268
1000, 10000, 1000, 581849612
1000, 10000, 1000, 285
1000, 10000, 7000, 582150472
1000, 10000, 5000, 588252577
1000, 10000, 1000, 590792545
1000, 10000, 1000, 590887115
1000, 10000, 1000, 590867117
1000, 10000, 1000, 590805014
1000, 10000, 1000, 590369396
1000, 10000, 1000, 590084310
