producers, M, length, time
10, 100000, 20000, 1127
10, 100000, 10000, 1012
10, 100000, 10000, 11342155
10, 100000, 50000, 11599779
10, 100000, 10000, 5465704
10, 100000, 10000, 262472001
10, 100000, 10000, 263446921
10, 100000, 10000, 264378410
10, 100000, 100000, 266267783
10, 100000, 10000, 1070301735
10, 100000, 10000, 1838411077
10, 100000, 10000, 1838841662
10, 100000, 10000, 1924964389
10, 100000, 10000, 1920868006
10, 100000, 50000, 1920785869
10, 100000, 10000, 1665731174
10, 100000, 10000, 1664940226
10, 100000, 10000, 1664220216
10, 100000, 10000, 1650164388
10, 100000, 20000, 858750947
10, 100000, 10000, 593974257
10, 100000, 10000, 594227490
10, 100000, 10000, 507756744
10, 100000, 10000, 507482622
10, 100000, 10000, 505640895
10, 100000, 10000, 505532752
10, 100000, 10000, 505473881
10, 100000, 10000, 505432473
10, 100000, 10000, 505211152
10, 100000, 10000, 504756740
10, 100000, 10000, 2069242
10, 100000, 10000, 1854649
10, 100000, 10000, 1718978
10, 100000, 10000, 1693973
10, 100000, 10000, 1701757
10, 100000, 10000, 1614869
10, 100000, 10000, 1555144
10, 100000, 10000, 1490451
10, 100000, 10000, 1425987
10, 100000, 10000, 1367013
10, 100000, 10000, 1005005
10, 100000, 10000, 988360
10, 100000, 50000, 980602
10, 100000, 10000, 2339533
10, 100000, 50000, 2369256
10, 100000, 10000, 573333205
10, 100000, 10000, 939756527
10, 100000, 10000, 940428280
10, 100000, 10000, 940652754
10, 100000, 10000, 940866242
10, 100000, 10000, 941078295
10, 100000, 40000, 941109559
10, 100000, 10000, 940463136
10, 100000, 10000, 940420007
10, 100000, 30000, 938864906
10, 100000, 20000, 615499179
10, 100000, 60000, 250070875
10, 100000, 10000, 48512
10, 100000, 10000, 872046510
10, 100000, 60000, 871926417
10, 100000, 80000, 1165999794
10, 100000, 40000, 2547239467
10, 100000, 10000, 2547279827
10, 100000, 10000, 2562992170
10, 100000, 10000, 2563045518
10, 100000, 10000, 2562799824
10, 100000, 10000, 2314758025
10, 100000, 10000, 1693741572
10, 100000, 10000, 1693791284
10, 100000, 10000, 1692622849
10, 100000, 10000, 17243941
10, 100000, 10000, 17361769
10, 100000, 10000, 17421265
10, 100000, 100000, 1710705
10, 100000, 10000, 567718810
10, 100000, 40000, 847613085
10, 100000, 10000, 1163672878
10, 100000, 10000, 1164015448
10, 100000, 10000, 1181101433
10, 100000, 10000, 1181126811
10, 100000, 10000, 1181155117
10, 100000, 10000, 1181135481
10, 100000, 10000, 1181233458
10, 100000, 10000, 1179433427
10, 100000, 20000, 615337097
10, 100000, 10000, 334793753
10, 100000, 10000, 19088848
10, 100000, 10000, 18950710
10, 100000, 10000, 35039949
10, 100000, 90000, 35115874
10, 100000, 10000, 1277932981
10, 100000, 10000, 1277949032
10, 100000, 10000, 1278040230
10, 100000, 80000, 1278003650
10, 100000, 10000, 1658274561
10, 100000, 10000, 1658288722
10, 100000, 10000, 1658246271
10, 100000, 10000, 1658240981
10, 100000, 10000, 1649421330
10, 100000, 10000, 1647910541
10, 100000, 10000, 406397930
10, 100000, 10000, 406374296
10, 100000, 10000, 496843223
10, 100000, 10000, 495581160
10, 100000, 10000, 116177590
10, 100000, 10000, 116159694
10, 100000, 10000, 116147932
10, 100000, 10000, 116032283
10, 100000, 100000, 92021519
10, 100000, 10000, 723911340
10, 100000, 50000, 723957642
10, 100000, 10000, 1233909768
10, 100000, 10000, 1143418900
10, 100000, 10000, 1143464099
10, 100000, 10000, 1143612849
10, 100000, 10000, 1143657574
10, 100000, 80000, 1143718698
10, 100000, 10000, 1920354094
10, 100000, 10000, 1918785231
10, 100000, 50000, 1288511158
10, 100000, 60000, 1288474363
10, 100000, 10000, 1244671853
10, 100000, 10000, 1358429450
10, 100000, 10000, 1358513939
10, 100000, 10000, 1358372679
10, 100000, 10000, 1358398739
10, 100000, 10000, 1356943103
10, 100000, 60000, 585355261
10, 100000, 10000, 629494503
10, 100000, 10000, 628661039
10, 100000, 10000, 627758679
10, 100000, 10000, 163321809
10, 100000, 10000, 49511209
10, 100000, 10000, 49350532
10, 100000, 10000, 239309538
10, 100000, 40000, 239463619
10, 100000, 80000, 240206088
10, 100000, 10000, 1157075096
10, 100000, 70000, 1465841557
10, 100000, 50000, 1467150184
10, 100000, 10000, 2277429021
10, 100000, 10000, 2277656052
10, 100000, 10000, 2290952062
10, 100000, 10000, 2291123619
10, 100000, 60000, 2101127496
10, 100000, 10000, 3346824196
10, 100000, 20000, 3345561601
10, 100000, 10000, 2425583178
10, 100000, 10000, 2072278901
10, 100000, 80000, 2071352209
10, 100000, 10000, 1263152659
10, 100000, 30000, 1346747888
10, 100000, 100000, 337
10, 100000, 10000, 2351389835
10, 100000, 90000, 2987505080
10, 100000, 10000, 4116349159
10, 100000, 10000, 2870912455
10, 100000, 10000, 2962388945
10, 100000, 10000, 2962289654
10, 100000, 80000, 2962243568
10, 100000, 10000, 2962187896
10, 100000, 10000, 2878065715
10, 100000, 10000, 2539741324
10, 100000, 10000, 2539993671
10, 100000, 100000, 1902377838
10, 100000, 10000, 1983816448
