producers, M, length, time
100, 10000, 4000, 1076
100, 10000, 7000, 328
100, 10000, 3000, 249
100, 10000, 3000, 300
100, 10000, 3000, 311
100, 10000, 4000, 313
100, 10000, 9000, 255
100, 10000, 7000, 276
100, 10000, 6000, 61
100, 10000, 6000, 57
100, 10000, 6000, 390
100, 10000, 4000, 219
100, 10000, 9000, 62
100, 10000, 4000, 88
100, 10000, 1000, 53
100, 10000, 4000, 58
100, 10000, 2000, 403
100, 10000, 7000, 98
100, 10000, 4000, 61
100, 10000, 1000, 258
100, 10000, 4000, 63
100, 10000, 3000, 67
100, 10000, 6000, 62
100, 10000, 1000, 61
100, 10000, 4000, 353
100, 10000, 5000, 86
100, 10000, 4000, 69
100, 10000, 5000, 60
100, 10000, 4000, 336
100, 10000, 10000, 90
100, 10000, 2000, 367
100, 10000, 4000, 53
100, 10000, 10000, 75
100, 10000, 7000, 268
100, 10000, 4000, 63
100, 10000, 2000, 56
100, 10000, 6000, 55
100, 10000, 2000, 57
100, 10000, 9000, 457
100, 10000, 7000, 54
100, 10000, 1000, 55
100, 10000, 7000, 224
100, 10000, 9000, 61
100, 10000, 3000, 58
100, 10000, 6000, 310
100, 10000, 5000, 57
100, 10000, 7000, 244
100, 10000, 6000, 53
100, 10000, 1000, 56
100, 10000, 5000, 307
100, 10000, 4000, 59
100, 10000, 1000, 56
100, 10000, 1000, 51
100, 10000, 9000, 51
100, 10000, 7000, 420
100, 10000, 3000, 60
100, 10000, 6000, 307
100, 10000, 9000, 52
100, 10000, 4000, 52
100, 10000, 9000, 428
100, 10000, 2000, 57
100, 10000, 1000, 53
100, 10000, 3000, 368
100, 10000, 7000, 54
100, 10000, 2000, 60
100, 10000, 2000, 53
100, 10000, 8000, 336
100, 10000, 1000, 53
100, 10000, 6000, 590
100, 10000, 5000, 99
100, 10000, 1000, 313
100, 10000, 2000, 56
100, 10000, 10000, 52
100, 10000, 4000, 441
100, 10000, 6000, 56
100, 10000, 6000, 518
100, 10000, 8000, 52
100, 10000, 1000, 77
100, 10000, 2000, 420
100, 10000, 6000, 69
100, 10000, 1000, 56
100, 10000, 7000, 306
100, 10000, 1000, 59
100, 10000, 10000, 58
100, 10000, 4000, 451
100, 10000, 2000, 50
100, 10000, 10000, 186
100, 10000, 4000, 390
100, 10000, 8000, 60
100, 10000, 5000, 448
100, 10000, 7000, 55
100, 10000, 1000, 423
100, 10000, 2000, 54
100, 10000, 5000, 64
100, 10000, 8000, 447
100, 10000, 5000, 54
100, 10000, 4000, 58
100, 10000, 2000, 815
100, 10000, 4000, 65
100, 10000, 6000, 77
100, 10000, 6000, 414
100, 10000, 6000, 52
100, 10000, 5000, 1422
100, 10000, 6000, 174
100, 10000, 9000, 112
100, 10000, 4000, 555
100, 10000, 8000, 65
100, 10000, 6000, 716
100, 10000, 3000, 62
100, 10000, 2000, 54
100, 10000, 3000, 60
100, 10000, 7000, 60
100, 10000, 10000, 696
100, 10000, 10000, 54
100, 10000, 10000, 621
100, 10000, 4000, 52
100, 10000, 5000, 680
100, 10000, 6000, 61
100, 10000, 7000, 62
100, 10000, 1000, 620
100, 10000, 7000, 65
100, 10000, 10000, 68
100, 10000, 7000, 599
100, 10000, 9000, 56
100, 10000, 10000, 648
100, 10000, 5000, 541
100, 10000, 7000, 52
100, 10000, 5000, 650
100, 10000, 9000, 51
100, 10000, 4000, 60
100, 10000, 7000, 922
100, 10000, 9000, 75
100, 10000, 10000, 807
100, 10000, 1000, 102
100, 10000, 2000, 102
100, 10000, 1000, 101
100, 10000, 4000, 980
100, 10000, 3000, 57
100, 10000, 9000, 59
100, 10000, 8000, 637
100, 10000, 4000, 171
100, 10000, 2000, 647
100, 10000, 10000, 55
100, 10000, 2000, 996
100, 10000, 1000, 54
100, 10000, 6000, 58
100, 10000, 7000, 60
100, 10000, 2000, 52
100, 10000, 1000, 627
100, 10000, 1000, 57
100, 10000, 3000, 53
100, 10000, 8000, 56
100, 10000, 6000, 55
100, 10000, 6000, 831
100, 10000, 4000, 52
100, 10000, 5000, 53
100, 10000, 5000, 574
100, 10000, 2000, 54
100, 10000, 4000, 62
100, 10000, 8000, 56
