consumer, M, length, time
10, 1000, 200, 297
10, 1000, 500, 333
10, 1000, 700, 239
10, 1000, 1000, 236
10, 1000, 800, 315
10, 1000, 100, 260
10, 1000, 800, 219
10, 1000, 700, 286
10, 1000, 100, 275
10, 1000, 1000, 273
10, 1000, 200, 278
10, 1000, 900, 232
10, 1000, 800, 295
10, 1000, 400, 230
10, 1000, 600, 226
10, 1000, 300, 218
10, 1000, 200, 236
10, 1000, 300, 213
10, 1000, 1000, 224
10, 1000, 200, 222
10, 1000, 700, 205
10, 1000, 700, 249
10, 1000, 100, 232
10, 1000, 600, 220
10, 1000, 1000, 212
10, 1000, 100, 272
10, 1000, 900, 30676244
10, 1000, 600, 222
10, 1000, 400, 203
10, 1000, 900, 23726895
10, 1000, 200, 201
10, 1000, 200, 216
10, 1000, 200, 220
10, 1000, 900, 21911917
10, 1000, 900, 191
10, 1000, 500, 225
10, 1000, 500, 17602093
10, 1000, 400, 195
10, 1000, 600, 16419930
10, 1000, 100, 224
10, 1000, 800, 15215501
10, 1000, 800, 284
10, 1000, 200, 218
10, 1000, 400, 15661775
10, 1000, 100, 223
10, 1000, 100, 229
10, 1000, 1000, 231
10, 1000, 100, 237
10, 1000, 100, 212
10, 1000, 900, 16610731
10, 1000, 200, 254
10, 1000, 700, 194
10, 1000, 800, 17134869
10, 1000, 800, 46669668
10, 1000, 1000, 17672766
10, 1000, 500, 246
10, 1000, 700, 18321923
10, 1000, 400, 333
10, 1000, 900, 17521021
10, 1000, 700, 17629559
10, 1000, 600, 305
10, 1000, 100, 308
10, 1000, 500, 230
10, 1000, 800, 19330908
10, 1000, 200, 285
10, 1000, 400, 228
10, 1000, 200, 232
10, 1000, 100, 241
10, 1000, 800, 18728857
10, 1000, 800, 262
10, 1000, 400, 17795343
10, 1000, 600, 196
10, 1000, 1000, 143
10, 1000, 300, 17977117
10, 1000, 300, 228
10, 1000, 400, 212
10, 1000, 700, 203
10, 1000, 800, 134
10, 1000, 300, 243
10, 1000, 500, 195
10, 1000, 400, 16643443
10, 1000, 100, 222
10, 1000, 700, 256
10, 1000, 900, 284
10, 1000, 800, 17450595
10, 1000, 700, 203
10, 1000, 1000, 17639057
10, 1000, 200, 362
10, 1000, 300, 1810
10, 1000, 800, 19983619
10, 1000, 300, 319
10, 1000, 800, 127
10, 1000, 600, 19844557
10, 1000, 600, 285
10, 1000, 700, 19234434
10, 1000, 900, 294
10, 1000, 700, 19138208
10, 1000, 300, 287
10, 1000, 800, 284
10, 1000, 700, 19412631
10, 1000, 400, 93
10, 1000, 100, 74
10, 1000, 900, 19814043
10, 1000, 500, 39971158
10, 1000, 100, 102
10, 1000, 1000, 19630753
10, 1000, 500, 103
10, 1000, 200, 103
10, 1000, 700, 20463900
10, 1000, 800, 101
10, 1000, 1000, 17309010
10, 1000, 200, 96
10, 1000, 200, 17053989
10, 1000, 500, 77
10, 1000, 300, 108
10, 1000, 200, 77
10, 1000, 500, 78
10, 1000, 1000, 16913004
10, 1000, 800, 117
10, 1000, 100, 116
10, 1000, 100, 54
10, 1000, 700, 17492883
10, 1000, 600, 98
10, 1000, 100, 16903533
10, 1000, 900, 80
10, 1000, 400, 101
10, 1000, 300, 77
10, 1000, 600, 16807696
10, 1000, 600, 126
10, 1000, 200, 102
10, 1000, 900, 16725122
10, 1000, 200, 101
10, 1000, 400, 15216523
10, 1000, 200, 74
10, 1000, 100, 53
10, 1000, 800, 54
10, 1000, 300, 100
10, 1000, 1000, 15208330
10, 1000, 900, 100
10, 1000, 900, 18977424
10, 1000, 100, 211
10, 1000, 900, 44
10, 1000, 1000, 21718932
10, 1000, 100, 204
10, 1000, 300, 421
10, 1000, 200, 161
10, 1000, 100, 105
10, 1000, 500, 24068937
10, 1000, 200, 129
10, 1000, 200, 183
10, 1000, 1000, 127
10, 1000, 500, 27749880
10, 1000, 300, 277
10, 1000, 400, 98
10, 1000, 700, 28490525
10, 1000, 400, 127
10, 1000, 700, 157
10, 1000, 700, 30290936
10, 1000, 100, 150
10, 1000, 100, 274
10, 1000, 300, 113
10, 1000, 400, 225
