implementation, tasks, threads, time
newCachedThreadPool, 10, 7, 466795179
newCachedThreadPool, 110, 28, 285375013
newCachedThreadPool, 210, 12, 204650396
newCachedThreadPool, 310, 9, 149955700
newCachedThreadPool, 410, 12, 198699137
newCachedThreadPool, 510, 5, 115033816
newCachedThreadPool, 610, 19, 340791046
newCachedThreadPool, 710, 9, 262257143
newCachedThreadPool, 810, 13, 228224844
newCachedThreadPool, 10, 8, 258238610
newCachedThreadPool, 110, 26, 178874276
newCachedThreadPool, 210, 11, 191054000
newCachedThreadPool, 310, 21, 152695287
newCachedThreadPool, 410, 25, 291696999
newCachedThreadPool, 510, 32, 126027590
newCachedThreadPool, 610, 9, 260859492
newCachedThreadPool, 710, 34, 158459579
newCachedThreadPool, 810, 8, 165313895
newCachedThreadPool, 10, 8, 373603421
newCachedThreadPool, 110, 30, 173313444
newCachedThreadPool, 210, 12, 222784322
newCachedThreadPool, 310, 27, 145400052
newCachedThreadPool, 410, 10, 200209572
newCachedThreadPool, 510, 11, 115473872
newCachedThreadPool, 610, 8, 298121384
newCachedThreadPool, 710, 11, 240110701
newCachedThreadPool, 810, 11, 196180268
newCachedThreadPool, 10, 8, 320190983
newCachedThreadPool, 110, 35, 154393895
newCachedThreadPool, 210, 10, 216452269
newCachedThreadPool, 310, 27, 153332935
newCachedThreadPool, 410, 9, 228563257
newCachedThreadPool, 510, 10, 126900704
newCachedThreadPool, 610, 9, 152321619
newCachedThreadPool, 710, 10, 176077924
newCachedThreadPool, 810, 12, 260238261
newCachedThreadPool, 10, 8, 265379795
newCachedThreadPool, 110, 17, 146592273
newCachedThreadPool, 210, 22, 174700464
newCachedThreadPool, 310, 20, 151365997
newCachedThreadPool, 410, 25, 225946772
newCachedThreadPool, 510, 28, 108420312
newCachedThreadPool, 610, 24, 138356333
newCachedThreadPool, 710, 29, 149115124
newCachedThreadPool, 810, 12, 156164458
newCachedThreadPool, 10, 8, 247430257
newCachedThreadPool, 110, 35, 155614448
newCachedThreadPool, 210, 9, 171336396
newCachedThreadPool, 310, 9, 155119267
newCachedThreadPool, 410, 12, 179039984
newCachedThreadPool, 510, 8, 134904667
newCachedThreadPool, 610, 9, 159124040
newCachedThreadPool, 710, 11, 173951205
newCachedThreadPool, 810, 8, 193079710
newCachedThreadPool, 10, 7, 220178893
newCachedThreadPool, 110, 16, 156944770
newCachedThreadPool, 210, 8, 169318546
newCachedThreadPool, 310, 15, 156987949
newCachedThreadPool, 410, 26, 172942550
newCachedThreadPool, 510, 22, 113841671
newCachedThreadPool, 610, 29, 154388451
newCachedThreadPool, 710, 8, 155384970
newCachedThreadPool, 810, 9, 168618927
newCachedThreadPool, 10, 7, 191420406
newCachedThreadPool, 110, 31, 160746289
newCachedThreadPool, 210, 9, 155489445
newCachedThreadPool, 310, 9, 147545445
newCachedThreadPool, 410, 12, 203991732
newCachedThreadPool, 510, 13, 113360318
newCachedThreadPool, 610, 33, 157451236
newCachedThreadPool, 710, 9, 188142519
newCachedThreadPool, 810, 8, 182098913
newCachedThreadPool, 10, 7, 214846999
newCachedThreadPool, 110, 15, 147582348
newCachedThreadPool, 210, 19, 160864947
newCachedThreadPool, 310, 23, 152136908
newCachedThreadPool, 410, 12, 167549228
newCachedThreadPool, 510, 7, 129148710
newCachedThreadPool, 610, 8, 147930666
newCachedThreadPool, 710, 9, 177359613
